state_name,gdp_per_capita,gdp_year,gdp_source
Haryana,229504,2019-20,RBI Handbook of Statistics on Indian States
Kerala,204105,2019-20,RBI Handbook of Statistics on Indian States
Punjab,158462,2019-20,RBI Handbook of Statistics on Indian States
Tamil Nadu,185598,2019-20,RBI Handbook of Statistics on Indian States
Maharashtra,198785,2019-20,RBI Handbook of Statistics on Indian States
Uttar Pradesh,68258,2019-20,RBI Handbook of Statistics on Indian States
West Bengal,107389,2019-20,RBI Handbook of Statistics on Indian States
Assam,70966,2019-20,RBI Handbook of Statistics on Indian States
Bihar,39173,2019-20,RBI Handbook of Statistics on Indian States
Jharkhand,76060,2019-20,RBI Handbook of Statistics on Indian States
