state_name,phe_per_capita,phe_year,phe_source
Haryana,2434.0,2019-21 avg,RBI State Finances / NHA
Kerala,7437.5,2019-21 avg,RBI State Finances / NHA
Punjab,3391.5,2019-21 avg,RBI State Finances / NHA
Tamil Nadu,2112.5,2019-21 avg,RBI State Finances / NHA
Maharashtra,2864.5,2019-21 avg,RBI State Finances / NHA
Uttar Pradesh,2722.5,2019-21 avg,RBI State Finances / NHA
West Bengal,3536.5,2019-21 avg,RBI State Finances / NHA
Assam,1031.0,2019-21 avg,RBI State Finances / NHA
Bihar,887.0,2019-21 avg,RBI State Finances / NHA
Jharkhand,2054.0,2019-21 avg,RBI State Finances / NHA
