state_name,wmi,wmi_rank,wmi_category,pct_improved_toilet,pct_improved_water,pct_handwashing,pct_safe_waste,pct_private_toilet,phe_per_capita,ln_phe,literacy_rate,gdp_per_capita,ln_gdp
Haryana,83.782433,1,Good,94.846481,90.463226,88.982353,60.232407,84.38768,2434,7.7972913,75.550003,229504,12.343676
Kerala,83.245636,2,Good,99.036453,93.72747,79.381409,45.071487,99.011375,7437.5,8.9142904,93.910004,204105,12.22639
Punjab,81.129593,3,Good,95.503746,97.955933,86.05661,39.515877,86.615814,3391.5,8.1290274,75.839996,158462,11.97327
Tamil Nadu,76.449883,4,Good,75.462929,85.666862,77.420219,71.336479,72.362923,2112.5,7.6556273,80.089996,185598,12.131338
Maharashtra,74.532524,5,Moderate,79.756134,89.325943,74.580597,56.320335,72.679611,2864.5,7.9601493,82.339996,198785,12.199979
Uttar Pradesh,71.329063,6,Moderate,75.210823,96.056595,77.969208,39.048241,68.360451,2722.5,7.909306,67.699997,68258,11.13105
West Bengal,65.813194,7,Moderate,82.816803,92.576912,46.791477,36.915302,69.965485,3536.5,8.1708927,76.260002,107389,11.584213
Assam,64.234421,8,Moderate,78.854713,85.510124,54.793156,20.457727,81.556366,1031,6.9382844,72.190002,70966,11.169956
Bihar,56.242962,9,Moderate,58.262283,97.229263,59.128487,17.051195,49.543579,887,6.7878451,61.799999,39173,10.575743
Jharkhand,55.857491,10,Moderate,62.212379,83.368454,51.787369,22.710642,59.208603,2054,7.6275444,66.410004,76060,11.239278
