variable,mean,sd,min,max
wmi,71.261719,10.420599,55.857491,83.782433
pct_improved_toilet,80.196274,13.599591,58.262283,99.036453
pct_improved_water,91.18808,5.1880426,83.368454,97.955933
pct_handwashing,69.689087,15.145633,46.791477,88.982353
pct_safe_waste,40.865971,17.932047,17.051195,71.336479
pct_private_toilet,74.369186,14.211789,49.543579,99.011375
phe_per_capita,2847.1001,1836.0208,887,7437.5
ln_phe,7.7890258,.60932183,6.7878451,8.9142904
literacy_rate,75.209,9.121068,61.799999,93.910004
gdp_per_capita,133830,68997.523,39173,229504
ln_gdp,11.65749,.6035375,10.575743,12.343676
