state_name,wmi,wmi_rank,phe_per_capita,ln_phe,literacy_rate,gdp_per_capita,ln_gdp
Haryana,83.782433,1,2434,7.7972913,75.550003,229504,12.343676
Kerala,83.245636,2,7437.5,8.9142904,93.910004,204105,12.22639
Punjab,81.129593,3,3391.5,8.1290274,75.839996,158462,11.97327
Tamil Nadu,76.449883,4,2112.5,7.6556273,80.089996,185598,12.131338
Maharashtra,74.532524,5,2864.5,7.9601493,82.339996,198785,12.199979
Uttar Pradesh,71.329063,6,2722.5,7.909306,67.699997,68258,11.13105
West Bengal,65.813194,7,3536.5,8.1708927,76.260002,107389,11.584213
Assam,64.234421,8,1031,6.9382844,72.190002,70966,11.169956
Bihar,56.242962,9,887,6.7878451,61.799999,39173,10.575743
Jharkhand,55.857491,10,2054,7.6275444,66.410004,76060,11.239278
