state_name,pct_improved_toilet,pct_improved_water,pct_handwashing,pct_safe_waste,pct_private_toilet,wmi,wmi_rank,wmi_category
Haryana,94.846481,90.463226,88.982353,60.232407,84.38768,83.782433,1,Good
Kerala,99.036453,93.72747,79.381409,45.071487,99.011375,83.245636,2,Good
Punjab,95.503746,97.955933,86.05661,39.515877,86.615814,81.129593,3,Good
Tamil Nadu,75.462929,85.666862,77.420219,71.336479,72.362923,76.449883,4,Good
Maharashtra,79.756134,89.325943,74.580597,56.320335,72.679611,74.532524,5,Moderate
Uttar Pradesh,75.210823,96.056595,77.969208,39.048241,68.360451,71.329063,6,Moderate
West Bengal,82.816803,92.576912,46.791477,36.915302,69.965485,65.813194,7,Moderate
Assam,78.854713,85.510124,54.793156,20.457727,81.556366,64.234421,8,Moderate
Bihar,58.262283,97.229263,59.128487,17.051195,49.543579,56.242962,9,Moderate
Jharkhand,62.212379,83.368454,51.787369,22.710642,59.208603,55.857491,10,Moderate
